date,open,high,low,close,volume
2023-04-15,14.01,14.1,13.79,13.93,249212.32
2023-04-16,13.93,15.41,13.71,14.64,1112271.47
2023-04-17,14.65,14.66,13.87,14.15,560241.17
2023-04-18,14.15,14.76,13.93,14.48,454492.28
2023-04-19,14.48,14.49,12.81,13.23,617759.64
2023-04-20,13.22,13.41,12.62,12.94,382081.87
2023-04-21,12.93,13.06,11.88,11.96,424965.0
2023-04-22,11.97,12.32,11.66,12.28,407246.16
2023-04-23,12.27,12.29,11.75,12.03,204537.25
2023-04-24,12.03,12.2,11.81,12.08,229727.92
2023-04-25,12.09,12.26,11.6,12.15,290275.04
2023-04-26,12.15,12.86,11.21,11.89,545299.22
2023-04-27,11.89,12.34,11.85,12.18,224893.69
2023-04-28,12.18,12.3,11.96,12.26,241991.02
2023-04-29,12.26,12.5,12.16,12.34,150264.9
2023-04-30,12.33,12.4,11.97,12.0,108131.2
2023-05-01,11.99,12.06,11.43,11.63,195524.35
2023-05-02,11.63,11.85,11.51,11.8,144208.89
2023-05-03,11.8,12.01,11.36,12.0,184138.0
2023-05-04,12.0,12.07,11.79,11.93,187755.93
2023-05-05,11.92,12.2,11.69,12.02,158907.16
2023-05-06,12.03,12.13,11.01,11.19,328287.92
2023-05-07,11.19,11.28,10.93,11.0,166334.55
2023-05-08,11.0,11.09,9.92,10.39,432657.17
2023-05-09,10.39,10.49,10.25,10.35,203689.64
2023-05-10,10.35,10.7,10.03,10.63,330411.55
2023-05-11,10.63,10.63,9.98,10.21,227176.49
2023-05-12,10.2,10.45,9.81,10.44,253153.63
2023-05-13,10.45,10.46,10.2,10.27,139412.19
2023-05-14,10.27,10.5,10.12,10.44,113459.1
2023-05-15,10.45,10.65,10.32,10.5,168567.23
2023-05-16,10.49,10.65,10.36,10.61,148259.47
2023-05-17,10.62,10.85,10.24,10.67,216837.57
2023-05-18,10.68,10.8,10.07,10.31,303108.89
2023-05-19,10.31,10.5,10.24,10.43,113425.03
2023-05-20,10.43,10.49,10.33,10.49,100087.0
2023-05-21,10.49,10.49,9.95,10.03,263811.86
2023-05-22,10.02,10.18,9.89,10.12,87657.65
2023-05-23,10.13,10.42,10.07,10.37,89336.66
2023-05-24,10.37,10.38,9.74,9.88,265515.99
