date,open,high,low,close,volume
2023-06-15,0.0655,0.0671,0.0642,0.0667,51733604.0
2023-06-16,0.0667,0.0677,0.0651,0.0669,40567367.0
2023-06-17,0.067,0.0694,0.0667,0.0683,48100007.0
2023-06-18,0.0683,0.0691,0.0667,0.0668,52006068.0
2023-06-19,0.0669,0.0689,0.0661,0.0685,61462401.0
2023-06-20,0.0686,0.0708,0.0669,0.0707,118928258.0
2023-06-21,0.0707,0.0747,0.0704,0.0745,143536251.0
2023-06-22,0.0744,0.0785,0.0732,0.0735,135034077.0
2023-06-23,0.0735,0.0787,0.0735,0.0772,88628211.0
2023-06-24,0.0773,0.0808,0.0762,0.078,95934930.0
2023-06-25,0.078,0.0836,0.0779,0.0796,91885731.0
2023-06-26,0.0796,0.0802,0.0757,0.0775,67693040.0
2023-06-27,0.0775,0.0787,0.0763,0.0773,36808706.0
2023-06-28,0.0774,0.0775,0.0702,0.0727,71685984.0
2023-06-29,0.0726,0.0754,0.0724,0.0739,33563988.0
2023-06-30,0.074,0.077,0.07,0.0756,94483982.0
2023-07-01,0.0756,0.08,0.0752,0.0798,69670450.0
2023-07-02,0.0798,0.0802,0.0758,0.0779,61516936.0
2023-07-03,0.0779,0.08,0.0775,0.0798,52601391.0
2023-07-04,0.0799,0.0804,0.0776,0.0791,48446213.0
2023-07-05,0.0792,0.0814,0.0762,0.0774,64171623.0
2023-07-06,0.0773,0.0796,0.074,0.0746,57615706.0
2023-07-07,0.0745,0.0772,0.0736,0.0768,45147534.0
2023-07-08,0.0767,0.0774,0.075,0.0767,33897852.0
2023-07-09,0.0767,0.0773,0.0755,0.0757,23365195.0
2023-07-10,0.0757,0.0776,0.0744,0.0759,39081409.0
2023-07-11,0.076,0.0777,0.0753,0.0771,37913666.0
2023-07-12,0.0771,0.0788,0.0757,0.0765,47482047.0
2023-07-13,0.0764,0.0846,0.0756,0.0842,93545874.0
2023-07-14,0.0843,0.0853,0.0778,0.0803,93418943.0
2023-07-15,0.0802,0.0829,0.0794,0.0818,33051815.0
2023-07-16,0.0818,0.0824,0.079,0.0793,32041857.0
2023-07-17,0.0793,0.0818,0.078,0.0807,53418464.0
2023-07-18,0.0807,0.0818,0.0775,0.0793,53388056.0
2023-07-19,0.0792,0.0806,0.0781,0.079,35382515.0
2023-07-20,0.079,0.0805,0.0777,0.079,46430108.0
2023-07-21,0.0791,0.0805,0.0784,0.0793,38298867.0
2023-07-22,0.0793,0.0798,0.0774,0.078,30086667.0
2023-07-23,0.078,0.0806,0.0774,0.0795,33112693.0
2023-07-24,0.0795,0.0797,0.0735,0.0769,63252936.0
2023-07-25,0.0769,0.0783,0.0763,0.0772,32057577.0
2023-07-26,0.0772,0.0777,0.0753,0.0772,42613088.0
2023-07-27,0.0772,0.0784,0.0765,0.0773,49906606.0
2023-07-28,0.0772,0.0781,0.0763,0.078,28935528.0
2023-07-29,0.0781,0.0827,0.0777,0.0795,94695852.0
2023-07-30,0.0796,0.0799,0.076,0.0777,51669660.0
2023-07-31,0.0777,0.0787,0.0765,0.0773,31265906.0
2023-08-01,0.0773,0.0782,0.0749,0.0781,37176267.0
2023-08-02,0.0782,0.0785,0.0757,0.0765,44382123.0
2023-08-03,0.0764,0.0776,0.0758,0.0767,39825354.0
2023-08-04,0.0767,0.0775,0.0759,0.0773,35573001.0
2023-08-05,0.0773,0.0773,0.0754,0.0766,20356018.0
2023-08-06,0.0766,0.0778,0.0763,0.0772,26096176.0
2023-08-07,0.0773,0.0779,0.0745,0.0757,43208398.0
2023-08-08,0.0758,0.0771,0.0753,0.0766,36386517.0
2023-08-09,0.0767,0.0771,0.0754,0.0761,24143924.0
2023-08-10,0.0761,0.0766,0.0755,0.0755,15822588.0
2023-08-11,0.0755,0.0757,0.0751,0.0756,20121062.0
2023-08-12,0.0756,0.0766,0.0755,0.0764,18288212.0
2023-08-13,0.0765,0.077,0.0756,0.0758,22281103.0
2023-08-14,0.0758,0.0765,0.0749,0.0754,34088309.0
2023-08-15,0.0755,0.0756,0.0663,0.0713,66250595.0
2023-08-16,0.0713,0.0714,0.0665,0.0679,65154544.0
2023-08-17,0.0679,0.0712,0.0559,0.0626,136463079.0
2023-08-18,0.0627,0.0657,0.0622,0.0636,140836311.0
2023-08-19,0.0636,0.0651,0.0634,0.0648,24127324.0
2023-08-20,0.0648,0.0658,0.0645,0.0654,16886096.0
2023-08-21,0.0654,0.0657,0.0625,0.0639,24771452.0
2023-08-22,0.0639,0.0647,0.0601,0.0626,39058213.0
2023-08-23,0.0626,0.0651,0.0622,0.0644,29164802.0
2023-08-24,0.0644,0.0646,0.0623,0.063,23316225.0
2023-08-25,0.063,0.0635,0.0615,0.0634,31147602.0
2023-08-26,0.0634,0.0639,0.0622,0.0625,15893449.0
2023-08-27,0.0626,0.063,0.062,0.0623,12573749.0
2023-08-28,0.0623,0.0624,0.0603,0.0612,40197737.0
2023-08-29,0.0612,0.0641,0.0601,0.0637,59719723.0
2023-08-30,0.0638,0.0649,0.062,0.0631,70623396.0
2023-08-31,0.0631,0.0634,0.0596,0.0604,55211142.0
2023-09-01,0.0603,0.0608,0.059,0.0599,26398096.0
2023-09-02,0.0599,0.0602,0.0588,0.06,25561662.0
2023-09-03,0.06,0.0603,0.0591,0.0597,15718699.0
2023-09-04,0.0597,0.0606,0.059,0.0596,21030422.0
2023-09-05,0.0597,0.0599,0.0588,0.0599,24066068.0
2023-09-06,0.0598,0.0602,0.0583,0.0595,27296903.0
2023-09-07,0.0595,0.0598,0.0588,0.0596,29933162.0
2023-09-08,0.0597,0.0602,0.0584,0.0591,25889385.0
2023-09-09,0.0592,0.0594,0.0589,0.059,18485280.0
2023-09-10,0.059,0.059,0.0552,0.0572,59712004.0
2023-09-11,0.0573,0.0575,0.0544,0.0551,49461831.3
2023-09-12,0.0552,0.0575,0.055,0.0556,39345793.0
2023-09-13,0.0556,0.0575,0.055,0.0565,53364872.0
2023-09-14,0.0564,0.0578,0.0561,0.0575,28651062.0
2023-09-15,0.0575,0.0595,0.0572,0.0593,38164015.0
2023-09-16,0.0593,0.0604,0.0586,0.0593,29168946.0
2023-09-17,0.0593,0.0593,0.0563,0.057,38586329.0
2023-09-18,0.0569,0.0599,0.0562,0.0586,44777278.0
2023-09-19,0.0585,0.0599,0.0585,0.0593,31369005.0
2023-09-20,0.0593,0.0601,0.0582,0.0595,30963071.0
2023-09-21,0.0594,0.06,0.0575,0.0586,33031310.0
2023-09-22,0.0585,0.0593,0.058,0.0586,31359655.0
2023-09-23,0.0586,0.0588,0.058,0.0582,27190099.0
2023-09-24,0.0582,0.0583,0.0567,0.0571,28050915.0
2023-09-25,0.0572,0.058,0.0568,0.0579,23439555.0
2023-09-26,0.0578,0.0585,0.0568,0.0576,24451871.0
2023-09-27,0.0575,0.0584,0.0568,0.0572,32611792.0
2023-09-28,0.0572,0.0587,0.0571,0.0585,34792870.0
2023-09-29,0.0586,0.0597,0.0582,0.0595,28418185.0
2023-09-30,0.0596,0.0649,0.0595,0.0619,263620649.0
2023-10-01,0.0619,0.0651,0.0611,0.0644,91279503.0
2023-10-02,0.0645,0.0647,0.0597,0.0616,62290223.0
2023-10-03,0.0616,0.063,0.0598,0.0601,58756779.0
2023-10-04,0.0601,0.0613,0.0579,0.0606,58285230.0
2023-10-05,0.0606,0.0616,0.0599,0.06,42245410.0
2023-10-06,0.06,0.0608,0.0589,0.0603,36179455.0
2023-10-07,0.0603,0.061,0.0594,0.0599,24985990.0
2023-10-08,0.0598,0.0605,0.0593,0.0599,20789987.0
2023-10-09,0.0599,0.0601,0.0549,0.0564,75669686.0
2023-10-10,0.0565,0.057,0.056,0.0565,38279355.0
2023-10-11,0.0566,0.057,0.0552,0.0557,39829108.0
2023-10-12,0.0557,0.0557,0.0536,0.05453,93098172.0
2023-10-13,0.05454,0.05576,0.05445,0.05506,92174553.0
2023-10-14,0.05506,0.05567,0.05492,0.05522,60586500.0
2023-10-15,0.05523,0.05622,0.05513,0.05609,62451362.0
2023-10-16,0.05606,0.05831,0.05578,0.05671,110233872.0
2023-10-17,0.0567,0.05685,0.05473,0.05559,74565958.0
2023-10-18,0.05557,0.0595,0.05536,0.05706,346945010.0
2023-10-19,0.05709,0.0571,0.05486,0.05618,116967507.0
2023-10-20,0.05618,0.05948,0.05601,0.05839,161369107.0
2023-10-21,0.0584,0.06111,0.05813,0.06035,135911506.0
2023-10-22,0.06035,0.06464,0.059,0.0626,266075798.0
2023-10-23,0.06261,0.06631,0.06139,0.06624,326184587.0
2023-10-24,0.06622,0.069,0.06064,0.06623,269786217.0
2023-10-25,0.06625,0.06754,0.06405,0.06615,270886249.0
2023-10-26,0.06617,0.06771,0.0622,0.06468,383456899.0
2023-10-27,0.06467,0.06645,0.06203,0.06372,206125658.0
2023-10-28,0.06373,0.06595,0.06366,0.06592,82346888.0
2023-10-29,0.06593,0.06725,0.06473,0.06689,99662429.0
